Date,Month,Year,State,State Short,Employment_to_pop_pct,Unemployment_rate_pct
1/01/2010 0:00,1,2010,Australian Capital Territory,ACT,70.5272324,3.6996602
1/02/2010 0:00,2,2010,Australian Capital Territory,ACT,70.7212932,3.6435385
1/03/2010 0:00,3,2010,Australian Capital Territory,ACT,70.7977062,3.5826156
1/04/2010 0:00,4,2010,Australian Capital Territory,ACT,70.7592572,3.5204518
1/05/2010 0:00,5,2010,Australian Capital Territory,ACT,70.6646526,3.4589583
1/06/2010 0:00,6,2010,Australian Capital Territory,ACT,70.5995349,3.3971478
1/07/2010 0:00,7,2010,Australian Capital Territory,ACT,70.6305757,3.3406304
1/08/2010 0:00,8,2010,Australian Capital Territory,ACT,70.7692766,3.3007372
1/09/2010 0:00,9,2010,Australian Capital Territory,ACT,70.9405769,3.2891566
1/10/2010 0:00,10,2010,Australian Capital Territory,ACT,71.066533,3.3125156
1/11/2010 0:00,11,2010,Australian Capital Territory,ACT,71.09613,3.3737702
1/12/2010 0:00,12,2010,Australian Capital Territory,ACT,71.0215483,3.4689336
1/01/2011 0:00,1,2011,Australian Capital Territory,ACT,70.8557894,3.5863237
1/02/2011 0:00,2,2011,Australian Capital Territory,ACT,70.6272539,3.7116929
1/03/2011 0:00,3,2011,Australian Capital Territory,ACT,70.3843208,3.8293232
1/04/2011 0:00,4,2011,Australian Capital Territory,ACT,70.151781,3.926861
1/05/2011 0:00,5,2011,Australian Capital Territory,ACT,69.9616206,3.9931186
1/06/2011 0:00,6,2011,Australian Capital Territory,ACT,69.8169345,4.017747
1/07/2011 0:00,7,2011,Australian Capital Territory,ACT,69.7232068,3.9958452
1/08/2011 0:00,8,2011,Australian Capital Territory,ACT,69.6826592,3.9322577
1/09/2011 0:00,9,2011,Australian Capital Territory,ACT,69.6996122,3.8418778
1/10/2011 0:00,10,2011,Australian Capital Territory,ACT,69.7477037,3.7412116
1/11/2011 0:00,11,2011,Australian Capital Territory,ACT,69.7955393,3.6428581
1/12/2011 0:00,12,2011,Australian Capital Territory,ACT,69.8519374,3.5589443
1/01/2012 0:00,1,2012,Australian Capital Territory,ACT,69.9106421,3.501849
1/02/2012 0:00,2,2012,Australian Capital Territory,ACT,69.9618526,3.4759368
1/03/2012 0:00,3,2012,Australian Capital Territory,ACT,70.0177881,3.482339
1/04/2012 0:00,4,2012,Australian Capital Territory,ACT,70.0668769,3.5193832
1/05/2012 0:00,5,2012,Australian Capital Territory,ACT,70.1136404,3.5810499
1/06/2012 0:00,6,2012,Australian Capital Territory,ACT,70.1370259,3.6642852
1/07/2012 0:00,7,2012,Australian Capital Territory,ACT,70.1394859,3.7659409
1/08/2012 0:00,8,2012,Australian Capital Territory,ACT,70.1063054,3.8830938
1/09/2012 0:00,9,2012,Australian Capital Territory,ACT,70.0290706,4.0071216
1/10/2012 0:00,10,2012,Australian Capital Territory,ACT,69.9010982,4.1279427
1/11/2012 0:00,11,2012,Australian Capital Territory,ACT,69.7372885,4.234004
1/12/2012 0:00,12,2012,Australian Capital Territory,ACT,69.5543046,4.317996
1/01/2013 0:00,1,2013,Australian Capital Territory,ACT,69.3888599,4.3738263
1/02/2013 0:00,2,2013,Australian Capital Territory,ACT,69.2773447,4.3980658
1/03/2013 0:00,3,2013,Australian Capital Territory,ACT,69.2090355,4.3910754
1/04/2013 0:00,4,2013,Australian Capital Territory,ACT,69.1678867,4.3550001
1/05/2013 0:00,5,2013,Australian Capital Territory,ACT,69.1494557,4.2935516
1/06/2013 0:00,6,2013,Australian Capital Territory,ACT,69.114578,4.2126755
1/07/2013 0:00,7,2013,Australian Capital Territory,ACT,69.0102591,4.128582
1/08/2013 0:00,8,2013,Australian Capital Territory,ACT,68.8337763,4.0539677
1/09/2013 0:00,9,2013,Australian Capital Territory,ACT,68.6270556,3.9915317
1/10/2013 0:00,10,2013,Australian Capital Territory,ACT,68.4476319,3.9392263
1/11/2013 0:00,11,2013,Australian Capital Territory,ACT,68.3431341,3.8975893
1/12/2013 0:00,12,2013,Australian Capital Territory,ACT,68.3073183,3.8720821
1/01/2014 0:00,1,2014,Australian Capital Territory,ACT,68.3280574,3.8694655
1/02/2014 0:00,2,2014,Australian Capital Territory,ACT,68.3864389,3.8939171
1/03/2014 0:00,3,2014,Australian Capital Territory,ACT,68.4379783,3.948802
1/04/2014 0:00,4,2014,Australian Capital Territory,ACT,68.4136002,4.0329747
1/05/2014 0:00,5,2014,Australian Capital Territory,ACT,68.2734852,4.1413624
1/06/2014 0:00,6,2014,Australian Capital Territory,ACT,68.039169,4.2657707
1/07/2014 0:00,7,2014,Australian Capital Territory,ACT,67.763932,4.3927656
1/08/2014 0:00,8,2014,Australian Capital Territory,ACT,67.4928191,4.5053045
1/09/2014 0:00,9,2014,Australian Capital Territory,ACT,67.2399222,4.5911424
1/10/2014 0:00,10,2014,Australian Capital Territory,ACT,67.0324128,4.641603
1/11/2014 0:00,11,2014,Australian Capital Territory,ACT,66.9023408,4.655192
1/12/2014 0:00,12,2014,Australian Capital Territory,ACT,66.8772678,4.6375167
1/01/2015 0:00,1,2015,Australian Capital Territory,ACT,66.9304242,4.59989
1/02/2015 0:00,2,2015,Australian Capital Territory,ACT,67.0152654,4.5599055
1/03/2015 0:00,3,2015,Australian Capital Territory,ACT,67.0982138,4.5339865
1/04/2015 0:00,4,2015,Australian Capital Territory,ACT,67.1566896,4.535407
1/05/2015 0:00,5,2015,Australian Capital Territory,ACT,67.1478368,4.5729908
1/06/2015 0:00,6,2015,Australian Capital Territory,ACT,67.0417092,4.6468257
1/07/2015 0:00,7,2015,Australian Capital Territory,ACT,66.8813122,4.744796
1/08/2015 0:00,8,2015,Australian Capital Territory,ACT,66.7585428,4.8400988
